Date_Column,STOCK_PRICE_Open,STOCK_PRICE_High,STOCK_PRICE_Low,STOCK_PRICE_Close,STOCK_PRICE_Adj_Close,STOCK_PRICE_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj_Close,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Adj_Close,DOW_Open,DOW_High,DOW_Low,DOW_Close,DOW_Adj_Close,SP_Open,SP_High,SP_Low,SP_Close,SP_Adj_Close,capm_MKT,capm_intercept,ff3_intercept,ff3_mkt,ff3_smb,ff5_HML,ff5_RMW,ff5_intercept,ff5_mkt,ff5_smb,TARGET
2019-10-30,1760.239990234375,1782.3800048828125,1759.1199951171875,1779.989990234375,1779.989990234375,2449400,13.079999923706055,13.369999885559082,12.270000457763672,12.329999923706055,12.329999923706055,8284.2802734375,8315.5,8241.7001953125,8303.98046875,8303.98046875,9039.3701171875,9047.26953125,8984.2099609375,9037.330078125,9037.330078125,3039.739990234375,3050.10009765625,3025.9599609375,3046.77001953125,3046.77001953125,1.5567665050691653,-0.008863864884172196,-0.0090915237943985,1.4142680246209893,0.1193055693447082,-0.29227365614321377,0.3290799521095027,-0.009081228509749142,1.1451223662573007,0.03272860776041324,1775.989990234375
2019-10-31,1775.989990234375,1792.0,1771.47998046875,1776.6600341796875,1776.6600341796875,2781200,13.510000228881836,13.949999809265137,13.180000305175781,13.220000267028809,13.220000267028809,8314.3798828125,8321.7998046875,8248.8095703125,8292.3603515625,8292.3603515625,9030.3095703125,9030.3095703125,8952.33984375,8994.23046875,8994.23046875,3046.89990234375,3046.89990234375,3023.18994140625,3037.56005859375,3037.56005859375,1.5558163641664793,-0.008839958386542855,-0.009081338486270733,1.4137115985621027,0.1186940834769604,-0.29705450448204174,0.3236998690894731,-0.009055250269910317,1.14513074151392,0.03129423195310993,1788.010009765625
2019-11-01,1788.010009765625,1797.449951171875,1785.2099609375,1791.43994140625,1791.43994140625,2790400,12.5,12.600000381469727,12.260000228881836,12.300000190734863,12.300000190734863,8335.0498046875,8386.75,8326.5595703125,8386.400390625,8386.400390625,9021.51953125,9103.419921875,9021.51953125,9103.41015625,9103.41015625,3050.719970703125,3066.949951171875,3050.719970703125,3066.909912109375,3066.909912109375,1.5536474659429562,-0.008861130525478593,-0.009073729467140525,1.4145716020473855,0.11956634561317935,-0.293475389530707,0.31929294231547095,-0.009037510620426386,1.147488519984149,0.03301923396469179,1801.010009765625
2019-11-04,1801.010009765625,1815.06005859375,1801.010009765625,1804.6600341796875,1804.6600341796875,2771900,12.680000305175781,13.130000114440918,12.4399995803833,12.829999923706055,12.829999923706055,8445.5,8451.3701171875,8421.2998046875,8433.2001953125,8433.2001953125,9128.1103515625,9159.240234375,9128.1103515625,9157.1298828125,9157.1298828125,3078.9599609375,3085.199951171875,3074.8701171875,3078.27001953125,3078.27001953125,1.5541685598504884,-0.008845559652957606,-0.009008101135766623,1.4201749703572326,0.11977624248237898,-0.2762756618681152,0.33639225274327234,-0.00899720476703267,1.1485360332723706,0.03370783122013553,1809.1600341796875
2019-11-05,1809.1600341796875,1810.25,1794.0,1801.7099609375,1801.7099609375,1885500,12.850000381469727,13.279999732971191,12.25,13.100000381469727,13.100000381469727,8446.6201171875,8457.3896484375,8421.0498046875,8434.6796875,8434.6796875,9162.3095703125,9199.48046875,9155.4697265625,9161.509765625,9161.509765625,3080.800048828125,3083.949951171875,3072.14990234375,3074.6201171875,3074.6201171875,1.5541162715895571,-0.008838954812234909,-0.00898588733078549,1.4200969036858153,0.12236332730887742,-0.2743399553811669,0.33613233688039645,-0.00898518180800466,1.1481270380112798,0.03490599439196488,1801.0
2019-11-06,1801.0,1802.5,1788.5799560546875,1795.77001953125,1795.77001953125,2029800,13.180000305175781,13.390000343322754,12.600000381469727,12.619999885559082,12.619999885559082,8426.5703125,8426.5703125,8379.330078125,8410.6298828125,8410.6298828125,9165.1103515625,9165.3896484375,9131.1201171875,9161.080078125,9161.080078125,3075.10009765625,3078.340087890625,3065.889892578125,3076.780029296875,3076.780029296875,1.5541039830670083,-0.008837701511551992,-0.008976370571275472,1.4205527350728535,0.1189789136764183,-0.27258411126330173,0.3284802716604826,-0.008960212255138766,1.1506935514200447,0.026234708970552773,1803.760009765625
2019-11-07,1803.760009765625,1805.9000244140625,1783.47998046875,1788.199951171875,1788.199951171875,2651100,12.59000015258789,12.890000343322754,12.260000228881836,12.729999542236328,12.729999542236328,8455.1103515625,8483.16015625,8415.8701171875,8434.51953125,8434.51953125,9184.6298828125,9231.7001953125,9174.150390625,9186.9501953125,9186.9501953125,3087.02001953125,3097.77001953125,3080.22998046875,3085.179931640625,3085.179931640625,1.55321763870764,-0.008865560455124011,-0.008986444245912027,1.4199193706703497,0.11941985729163986,-0.27964057944626297,0.3251779754118517,-0.008986787483739956,1.1505322728216,0.027786651789507736,1787.8900146484375
2019-11-08,1787.8900146484375,1789.8800048828125,1774.0400390625,1785.8800048828125,1785.8800048828125,2123300,12.979999542236328,13.050000190734863,12.0,12.069999694824219,12.069999694824219,8422.669921875,8475.5703125,8405.8896484375,8475.3095703125,8475.3095703125,9181.669921875,9183.16015625,9147.6796875,9177.4599609375,9177.4599609375,3081.25,3093.090087890625,3073.580078125,3093.080078125,3093.080078125,1.5529087163889226,-0.008877974121514884,-0.009007888553758222,1.4197896088240645,0.11849236508406942,-0.27862974628086,0.3257798888414701,-0.008992239746976884,1.150187345770605,0.027467677672876036,1778.0
2019-11-11,1778.0,1780.0,1767.1300048828125,1771.6500244140625,1771.6500244140625,1946000,13.149999618530273,13.489999771118164,12.65999984741211,12.6899995803833,12.6899995803833,8431.259765625,8467.2900390625,8425.48046875,8464.2802734375,8464.2802734375,9145.33984375,9169.3798828125,9126.919921875,9161.240234375,9161.240234375,3080.330078125,3088.330078125,3075.820068359375,3087.010009765625,3087.010009765625,1.5531039301983824,-0.00888634097675058,-0.009022394183347854,1.420280810921983,0.1183446185934213,-0.27803250556111186,0.32677387951682335,-0.009008023215278865,1.1507949129397095,0.027439411132673085,1774.6600341796875
2019-11-12,1774.6600341796875,1786.219970703125,1771.9100341796875,1778.0,1778.0,2037600,12.640000343322754,13.100000381469727,12.359999656677246,12.680000305175781,12.680000305175781,8471.0703125,8514.83984375,8462.990234375,8486.08984375,8486.08984375,9163.23046875,9180.4697265625,9137.6298828125,9150.76953125,9150.76953125,3089.280029296875,3102.610107421875,3084.72998046875,3091.840087890625,3091.840087890625,1.5532606044627206,-0.008871097532514053,-0.009008848834668964,1.420491457353036,0.11757393058443553,-0.2775387308816609,0.325810166730492,-0.009001785558063857,1.150696884433369,0.026915962540544902,1773.3900146484375
2019-11-13,1773.3900146484375,1775.0,1747.3199462890625,1753.1099853515625,1753.1099853515625,2989500,12.90999984741211,13.899999618530273,12.880000114440918,13.0,13.0,8455.01953125,8496.900390625,8451.33984375,8482.099609375,8482.099609375,9130.6396484375,9179.7998046875,9123.9697265625,9165.7802734375,9165.7802734375,3084.179931640625,3098.06005859375,3078.800048828125,3094.0400390625,3094.0400390625,1.5534483494876823,-0.008914430278869647,-0.009067858750896662,1.422216605957752,0.1223346675846885,-0.2649638408516168,0.33663824493874217,-0.009047349913311185,1.1494048743210477,0.030370299297130806,1751.4300537109375
2019-11-14,1751.4300537109375,1766.5899658203125,1749.56005859375,1754.5999755859375,1754.5999755859375,2264800,13.15999984741211,13.8100004196167,12.930000305175781,13.050000190734863,13.050000190734863,8461.0595703125,8485.3603515625,8441.580078125,8479.01953125,8479.01953125,9159.099609375,9181.0595703125,9142.9697265625,9173.8203125,9173.8203125,3090.75,3098.199951171875,3083.260009765625,3096.6298828125,3096.6298828125,1.553463725388164,-0.008904221390606367,-0.009063198673240137,1.4222015518912532,0.12219546197186254,-0.2665242993120144,0.3339382281385604,-0.009064810473140145,1.1509194409788601,0.031298432058311496,1760.050048828125
